Employee_ID,Department,Age,Gender,Salary,Years_Experience,Performance_Score,Satisfaction_Score
1049,IT,54.0,Female,87854.0,2,64.0,9.0
1050,Marketing,39.0,Male,70262.0,26,69.0,8.0
1051,Operations,,Female,67080.0,28,92.0,2.0
1052,HR,32.0,Female,31324.0,31,97.0,9.0
1053,HR,,Female,65909.0,18,72.0,7.0
1054,IT,46.0,Female,119339.0,20,,9.0
1055,HR,44.0,Female,49870.0,4,95.0,6.0
1056,Sales,52.0,Male,64578.0,17,83.0,6.0
1057,HR,51.0,Male,102124.0,27,74.0,
1058,Marketing,56.0,Female,56790.0,21,,10.0
1059,Marketing,28.0,Male,55289.0,20,67.0,10.0
1060,Marketing,37.0,Female,85129.0,5,64.0,2.0
1061,Marketing,47.0,Female,45485.0,0,88.0,7.0
1062,Sales,23.0,Male,,4,63.0,5.0
1063,Finance,22.0,Male,116188.0,11,71.0,6.0
1064,Operations,33.0,Female,34748.0,25,61.0,2.0
1065,IT,26.0,Female,,33,86.0,5.0
1066,Marketing,58.0,Female,39435.0,13,90.0,10.0
1067,HR,53.0,Male,33709.0,25,95.0,4.0
1068,Marketing,30.0,Female,60355.0,26,95.0,9.0
1069,HR,56.0,Female,85771.0,8,85.0,6.0
1070,Operations,40.0,Female,87799.0,25,86.0,2.0
1071,Operations,37.0,Male,43116.0,21,64.0,1.0
1072,Operations,24.0,Female,55470.0,29,,5.0
1073,HR,41.0,Female,72344.0,16,70.0,9.0
1074,Marketing,45.0,Male,72918.0,25,69.0,6.0
1075,Operations,54.0,Female,82224.0,0,99.0,10.0
1076,Sales,45.0,Female,69298.0,7,97.0,7.0
1077,HR,32.0,Male,110219.0,34,65.0,5.0
1078,HR,29.0,Female,91629.0,14,67.0,10.0
1079,Marketing,57.0,Male,96040.0,21,82.0,6.0
1080,HR,,Male,58016.0,13,85.0,5.0
1081,HR,41.0,Female,53960.0,25,,9.0
1082,Operations,56.0,Female,63591.0,27,85.0,6.0
1083,Marketing,46.0,Female,112848.0,22,72.0,8.0
1084,Operations,56.0,Female,97641.0,13,99.0,2.0
1085,Operations,46.0,Male,66395.0,23,,9.0
1086,Marketing,50.0,Female,52700.0,1,84.0,5.0
1087,IT,39.0,Male,64620.0,25,92.0,7.0
1088,Operations,39.0,Female,50559.0,13,99.0,10.0
1089,Sales,23.0,Female,,6,71.0,1.0
1090,Sales,56.0,Female,106539.0,2,,10.0
1091,HR,,Male,51732.0,22,63.0,
1092,Sales,57.0,Female,60354.0,17,64.0,10.0
1093,HR,54.0,Female,43843.0,34,96.0,2.0
1094,IT,25.0,Female,101726.0,14,67.0,6.0
1095,Marketing,54.0,Female,47640.0,24,87.0,1.0
1096,Marketing,35.0,Male,82528.0,27,90.0,3.0
1097,Marketing,42.0,Female,68413.0,9,68.0,5.0
1098,Sales,41.0,Male,82638.0,16,88.0,4.0
1099,IT,29.0,Male,82736.0,21,73.0,3.0
1100,Sales,28.0,Male,98866.0,25,99.0,
1101,Sales,24.0,Male,49087.0,24,81.0,5.0
1102,IT,38.0,Male,71430.0,16,70.0,8.0
1103,IT,54.0,Male,54504.0,12,82.0,4.0
1104,IT,33.0,Female,37114.0,19,60.0,1.0
1105,IT,43.0,Male,108859.0,24,96.0,7.0
1106,Marketing,43.0,Male,40975.0,3,80.0,8.0
1107,Finance,51.0,Male,41023.0,9,85.0,3.0
1108,Finance,59.0,Female,51447.0,2,95.0,6.0
1109,IT,59.0,Female,53959.0,17,82.0,2.0
1110,Finance,29.0,Male,96203.0,21,60.0,7.0
1111,Finance,48.0,Female,59703.0,33,99.0,8.0
1112,IT,48.0,Male,39337.0,7,74.0,6.0
1113,Finance,55.0,Male,76427.0,18,80.0,6.0
1114,Sales,42.0,Female,91529.0,5,68.0,
1115,HR,51.0,Male,114665.0,25,68.0,8.0
1116,HR,54.0,Female,61921.0,33,69.0,1.0
1117,IT,49.0,Female,63307.0,5,85.0,10.0
1118,Marketing,54.0,Male,57355.0,32,94.0,4.0
1119,IT,26.0,Male,34835.0,21,84.0,4.0
1120,Marketing,40.0,Female,50159.0,20,85.0,3.0
1121,HR,25.0,Male,77605.0,5,70.0,3.0
1122,IT,56.0,Male,68088.0,5,97.0,
1123,Operations,38.0,Male,108752.0,3,61.0,1.0
1124,Sales,49.0,Female,85284.0,29,66.0,2.0
1125,Finance,51.0,Female,87043.0,10,77.0,9.0
1126,Marketing,50.0,Male,65547.0,29,86.0,10.0
1127,Operations,27.0,Female,112844.0,30,93.0,2.0
1128,Finance,56.0,Female,57532.0,23,86.0,5.0
1129,Finance,58.0,Female,64349.0,8,76.0,9.0
1130,IT,45.0,Female,75445.0,2,83.0,9.0
1131,Finance,50.0,Female,35713.0,30,84.0,8.0
1132,Sales,,Male,86178.0,23,66.0,1.0
1133,Operations,56.0,Male,79407.0,30,65.0,1.0
1134,Finance,54.0,Male,100340.0,5,83.0,9.0
1135,IT,42.0,Female,80990.0,1,92.0,8.0
1136,Sales,53.0,Female,105672.0,19,88.0,10.0
1137,HR,44.0,Male,95545.0,27,81.0,9.0
1138,Operations,54.0,Female,114791.0,10,85.0,7.0
1139,Finance,,Male,88141.0,3,87.0,3.0
1140,IT,39.0,Male,53793.0,14,80.0,3.0
1141,HR,46.0,Male,86570.0,5,66.0,2.0
1142,HR,52.0,Female,,29,76.0,5.0
1143,Marketing,24.0,Female,,1,79.0,3.0
1144,Sales,45.0,Male,91813.0,14,79.0,6.0
1145,Finance,53.0,Male,57712.0,10,81.0,2.0
1146,IT,43.0,Male,38415.0,7,87.0,3.0
1147,Marketing,44.0,Male,,25,99.0,5.0
1148,Sales,23.0,Female,53833.0,4,66.0,1.0
1149,Marketing,48.0,Female,34158.0,5,,1.0
1150,Operations,23.0,Male,92680.0,25,91.0,10.0
1151,Sales,47.0,Male,50309.0,3,72.0,9.0
1152,Sales,38.0,Female,36970.0,18,89.0,7.0
1153,Finance,54.0,Female,102474.0,19,82.0,1.0
1154,Sales,30.0,Male,116704.0,32,78.0,8.0
1155,Marketing,50.0,Male,76540.0,19,91.0,3.0
1156,Sales,47.0,Male,50384.0,11,89.0,8.0
1157,Finance,56.0,Female,48017.0,0,88.0,5.0
1158,Finance,46.0,Female,105880.0,25,88.0,1.0
1159,Operations,45.0,Female,38702.0,13,89.0,7.0
1160,Marketing,34.0,Male,30384.0,10,75.0,5.0
1161,HR,28.0,Male,,12,99.0,6.0
1162,HR,57.0,Female,70943.0,2,78.0,6.0
1163,Sales,41.0,Female,77926.0,32,77.0,8.0
1164,Operations,22.0,Male,59189.0,5,60.0,9.0
1165,IT,29.0,Female,42763.0,9,73.0,2.0
1166,Sales,37.0,Female,48384.0,4,61.0,9.0
1167,Operations,35.0,Male,90100.0,22,87.0,10.0
1168,Marketing,33.0,Female,39860.0,9,89.0,9.0
1169,Marketing,44.0,Male,110642.0,1,97.0,10.0
1170,Marketing,36.0,Male,80612.0,12,63.0,10.0
1171,Marketing,49.0,Male,53574.0,1,60.0,7.0
1172,Marketing,55.0,Male,53524.0,19,67.0,1.0
1173,Operations,23.0,Male,99172.0,0,88.0,7.0
1174,Operations,53.0,Male,40916.0,8,98.0,10.0
1175,Finance,44.0,Male,34809.0,16,62.0,5.0
1176,HR,43.0,Female,62201.0,8,91.0,6.0
1177,Marketing,46.0,Male,83330.0,10,69.0,10.0
1178,IT,43.0,Male,43456.0,14,69.0,
1179,Operations,43.0,Female,86397.0,23,78.0,5.0
1180,IT,27.0,Female,68765.0,34,93.0,7.0
1181,IT,36.0,Female,64816.0,29,,9.0
1182,IT,58.0,Male,75106.0,30,82.0,3.0
1183,Finance,54.0,Female,83932.0,4,87.0,8.0
1184,Operations,29.0,Male,47100.0,13,91.0,2.0
1185,IT,26.0,Male,87091.0,10,66.0,7.0
1186,Marketing,25.0,Male,51949.0,8,88.0,
1187,Sales,27.0,Male,100080.0,33,67.0,4.0
1188,IT,,Female,67744.0,11,60.0,7.0
1189,Finance,51.0,Female,75543.0,34,62.0,3.0
1190,Operations,56.0,Male,66187.0,34,83.0,2.0
1191,Finance,37.0,Male,37239.0,0,82.0,10.0
1192,IT,34.0,Male,44489.0,21,67.0,7.0
1193,Operations,51.0,Female,88017.0,28,96.0,1.0
1194,Sales,40.0,Male,91877.0,7,62.0,8.0
1195,IT,38.0,Male,73125.0,10,92.0,3.0
1196,Finance,40.0,Female,79922.0,13,87.0,2.0
1197,HR,49.0,Female,62049.0,29,67.0,3.0
1198,Marketing,47.0,Male,67131.0,34,93.0,5.0
1199,Finance,58.0,Female,72944.0,20,94.0,8.0
1200,Operations,47.0,Female,103963.0,4,91.0,10.0
